activity_code,reporting_category_employer
E01,Workforce Recruitment Assistance
E02,Workforce Recruitment Assistance
E03,Workforce Recruitment Assistance
E04,Employer Information and Support Services
E05,Employer Information and Support Services
E06,Workforce Recruitment Assistance
E07,Employer Information and Support Services
E08,Employer Information and Support Services
E09,Workforce Recruitment Assistance
E10,Miscellaneous
E11,Employer Information and Support Services
E12,Employer Information and Support Services
E13,Employer Information and Support Services
E14,Employer Information and Support Services
E15,Workforce Recruitment Assistance
E16,Workforce Recruitment Assistance
E17,Miscellaneous
E18,Workforce Recruitment Assistance
E19,Workforce Recruitment Assistance
E20,Workforce Recruitment Assistance
E21,Workforce Recruitment Assistance
E22,Workforce Recruitment Assistance
E23,Workforce Recruitment Assistance
E24,Workforce Recruitment Assistance
E25,Training Services
E26,Employer Information and Support Services
E27,Employer Information and Support Services
E28,Employer Information and Support Services
E29,Employer Information and Support Services
E30,Training Services
E31,Employer Information and Support Services
E32,Rapid Response/Business Downsizing Assistance
E33,Workforce Recruitment Assistance
E34,Workforce Recruitment Assistance
E35,Workforce Recruitment Assistance
E36,Employer Information and Support Services
E37,Workforce Recruitment Assistance
E38,Employer Information and Support Services
E39,Employer Information and Support Services
E40,Employer Information and Support Services
E41,Employer Information and Support Services
E42,Employer Information and Support Services
E43,Employer Information and Support Services
E44,Workforce Recruitment Assistance
E45,Training Services
E46,Employer Information and Support Services
E47,Employer Information and Support Services
E48,Workforce Recruitment Assistance
E51,Workforce Recruitment Assistance
E52,Employer Information and Support Services
E54,Rapid Response/Business Downsizing Assistance
E55,Workforce Recruitment Assistance
E56,Employer Information and Support Services
E57,Workforce Recruitment Assistance
E59,Workforce Recruitment Assistance
E60,Employer Information and Support Services
E61,Workforce Recruitment Assistance
E62,Employer Information and Support Services
E63,Employer Information and Support Services
E64,Rapid Response/Business Downsizing Assistance
E65,Engaged in Strategic Planning/Economic Development
E66,Accessing Untapped Labor Pools
E67,Training Services
E68,Incumbent Worker Training Services/Training Services
E69,Employer Information and Support Services
E70,Workforce Recruitment Assistance
E71,Workforce Recruitment Assistance
E72,Workforce Recruitment Assistance
E73,Employer Information and Support Services
E74,Miscellaneous
E75,Miscellaneous
E90,Employer Information and Support Services
E92,Employer Information and Support Services
