activity_code,activity_name,activity_description,activity_originator
002,Self-Service AJCC Employment and Workforce Information Services,"T his activity is system generated when an individual accesses self-service activities or  workforce information available in CalJOBS. Workforce information includes topics, such  as: local performance, availability of supportive services, filing claims for unemployment  compensation, and performance and program cost information of training providers.",System
004,Self-Service Information on Training Providers/Performance Outcomes,T his activity is system generated when an individual accesses information regarding  training providers and/or how the local area is performing on local performance  measures in CalJOBS.,System
005,Self-Service Labor Market Research,"T his activity is system generated when an individual accesses labor market information in  CalJOBS. Labor market information includes: information on state and local labor market  conditions; industries, occupations, and characteristics of the workforce; employer wage  and benefit trends; short and long-term industry and occupational projections; worker  supply and demand; area businesses' identified skill needs; job vacancies' survey results;  workforce availability; business turnover rates; job creation; and job identification of  high-growth and high-demand industries.",System
006,Self-Service Job Search through CalJOBS,"T his activity is system generated when an individual conducts an online job search using  CalJOBS at an America’s Job Center of California (AJCC) resource room, partnering  agency, home, library, or other physical location.",System
06M,Self-Service Job Search through Mobile App,"T his activity is system generated when an individual conducts a job search through the  CalJOBS mobile application using a smartphone, tablet or other electronic device at an  AJCC resource room, partnering agency, home, library or other physical location.",System
007,Self-Service Initial Résumé,"T his activity is system generated when an individual prepares his/her CalJOBS résumé at  an AJCC resource room, partnering agency, home, library, or other physical location.",System
008,Self-Service Résumé: Update and Additions,"T his activity is system generated when an individual revises his/her résumé on CalJOBS  using an AJCC resource room, partnering agency, home, library, or other physical  location.",System
080,Complaint Process Information,"A  participant was informed of the grievance and complaint procedures established by the  Local Area or EDD staff, either through self-service or by a staff member.",System
089,Self-Service Informed of Veteran Priority of Service,T his activity is system generated when a veteran self-identifies at the time of registration  in CalJOBS. A pop-up window informs the Veteran of the Priority of Service policy.,System
090,Self-Service Skills Self-Assessment,T his activity is system generated when an individual completes a CalJOBS self-assessment  tool designed to inform and educate him/her about his/her employment strengths and  weaknesses.,System
101,Orientation,"A n individual attended an orientation informing him/her of the information and services  available through the AJCC delivery system. This includes, but is not limited to Veteran  Orientation, WIOA Orientation, and Local Office Orientation.",System
102,Initial Assessment,"A JCC staff conducted an initial assessment of a participant's skill level, aptitude, abilities,  interests, and supportive service needs.",System
103,Provision of Information on Training Providers/Performance Outcomes,"A JCC staff provided an individual with readily available information on training providers  that did not require staff's assessment of the individual's skills, education, or career  objectives.",System
105,Job Finding Club,"A  participant attended an organized activity that provided instructions on résumé  writing, application preparation, interviewing skills, and/or job lead development, and  included a period of structured application where participants attempted to secure  employment.",System
106,Follow-Up Services after Employment (prior to exit),"T   F his activity applies to a participant who is enrolled in a program but has not soft exited.  This code includes, but is not limited to the following:   AJCC staff met with a participant for the provision of supportive services.  1.  Contacting the participant on a regular or intermittent basis to discuss progress  2.  in training or career services. AJCC Staff met with participant to collect  documentation related to MSGs and/or Credential attainment.   Peer support groups.  3.  Contacting the participant and/or his/her employer on a regular or intermittent  4.  basis to offer assistance with work-related issues following job placement.   AJCC staff phone call or letter offering to visit employee and/or employer  5.  following job placement.   Enrollment in training to secure a better-paying job; comprehensive guidance,  6.  counseling, or referral, including for alcohol and drug abuse following job  placement.  or Youth participants, they should use the Leadership Development Services (410)  activity instead.",System
107,Provision of Labor Market Research,"A JCC staff provided a participant with readily available information on labor market  information that did not require staff assessment of the participant's skills, education, or  career objectives. Examples include: state and local labor market conditions; industries,  occupations and characteristics of the workforce; area businesses’ identified skill needs;  employer wage and benefit trends; short and long-term industry and occupational  projections; worker supply and demand; and job vacancies survey results. This service  may also include local employment information, such as workforce availability; business  turnover rates; job creation; and job identification of high-growth and high-demand  industries.",System
108,Referred to WIOA Services (not training),A  participant was referred to WIOA Title I Career Services.,System
109,Referred to Community Resource,"A JCC staff—via phone call, email, or other means of direct contact—initiated a referral to  a community resource on behalf of a participant.",System
110,Attended Rapid Response,A  participant took part in Rapid Response activities subsequent to his/her program  participation.,System
112,Job Fair,"A JCC staff provided a participant with information regarding an upcoming job fair (e.g.,  physical address, date, and time) to assist the participant in locating employment  opportunities. This activity code can also be used if a participant attended a job fair  hosted or sponsored by the AJCC.",System
114,Job Referral: Federal Contractor Job Listing (FCJL),"A  special disabled, campaign, or recently separated veteran was referred to a job opening  listed by an employer as a Federal Contractor.",System
115,Résumé Preparation Assistance,"A n AJCC staff provided one-on-one instruction on résumé and cover letter formats, and  assisted in the development of one or both.   AJCC staff assisting a participant by inputting a participant's résumé into CalJOBS does  not constitute as Résumé Preparation Assistance.",System
117,UI General Information,"A n individual filed or re-opened an online Unemployment Insurance (UI) claim, certified  for benefits, or contacted the UI Branch using a smartphone, tablet, or other electronic  device at an AJCC, a partnering agency, or other physical location. The individual required  minimal or no AJCC staff assistance.",System
118,UI Claims Assistance,"A  participant who requested, or a claimant that self-identified as having barriers, such as  limited English proficiency or disabilities, received meaningful assistance in filing a UI  claim from a knowledgeable AJCC staff trained in how to file a UI claim; verify UI  certification, benefits, and claim status; or make appointments. If the assistance is  provided remotely using technology, it must be technology that enables trained staff to  provide the assistance, e.g., live Web chat, video conference applications, and other one- on-one means.",System
119,Financial Aid Assistance,A  participant received meaningful assistance from knowledgeable AJCC staff in exploring  and/or establishing eligibility for financial aid assistance for training and education  programs not covered under WIOA.,System
120,Use of AJCC Resource Room,A n individual used the services and/or equipment in the AJCC resource room. This  definition also includes a staff member providing an individual with information or  instruction on how to access the resource room's tools and equipment.,System
121,Job Referral: Job Outside CalJOBS (non-Federal),"A JCC staff referred a participant to a job opening that was neither listed in CalJOBS, nor  by a federal department or agency.",System
122,Job Referral: Federal,"A JCC staff referred a participant to a job opening listed by a federal department/agency,  or other entity under the jurisdiction of the U.S. Office of Personnel Management. This  definition does not include referrals to a Federal Contractor.",System
123,Job Development Contacts,"A JCC staff assisted a participant by working with both the employer and participant.  Activities include, but are not limited to: securing the participant a job interview (either  in-person, telephone, email, or U.S. Mail inquiry) for a job opening not currently listed on  file; or contacting a union or employer on behalf of a particular participant. Referrals to  governmental and/or local public agencies for a currently advertised job listing (all  sources) are not considered a valid Job Development Contact. Job Development Contacts  through U. S. Mail inquiries must include a cover letter introducing the client(s) and  explaining the enclosed application(s)' purpose.",System
124,Received Bonding Assistance,"A JCC staff designated to provide bonding services, verified participant and employer  bonding eligibility and completed the required steps to provide an at-risk, or hard-to- place participant with a fidelity bond. These steps include, but are not limited to the  following:  Confirming the participant's CalJOBS registration is complete  1.  Verifying participant has a firm job offer and the legal right-to-work  2.  Completing EDD's Fidelity Bonding Certification Request  3.  Completing EDD's Fidelity Bonding Employer Confirmation Letter   4.  Submitting bonding requests to the Workforce Services Division's Bonding  5.  Coordinator",System
125,Job Search and Placement Assistance,"A JCC staff provided a participant job search and placement assistance and, in appropriate  cases, career counseling, including the provision of information on in-demand industry  sectors and occupations, and nontraditional employment.",System
126,Tax Credit Eligibility Determination (includes WOTC),"A JCC staff determined if a participant qualified as a member of the Work Opportunity Tax  Credit (WOTC) target group and, if so, assisted the participant in completing the  applicable forms, including, but not limited to: IRS 8850 (Pre-screening Notice and  Certification Request), RTA 9061 (Individual Characteristics Form), and ETA 9154 (Youth  Self-Attestation Form).",System
130,Proficiency Testing,"A JCC staff tested a participant's ability to read, write and speak in English, and to  compute and solve problems at the proficiency level necessary to function on the job,  within the participant's family, and in society.",System
131,Testing as Requested by Employer,A JCC staff conducted employer-required participant testing.,System
132,Résumé Writing Workshop,"AJCC staff provided a résumé writing workshop to two or more participants in need of  résumé writing assistance and/or cover letter format, and assistance in the development  of one or both.  This definition does not include Résumé Preparation Assistance (115).",System
133,Job Search Workshop,"T   A JCC staff provided a job search workshop to two or more participants instructing them  on résumé writing, application preparation, interview skills, and job lead development.  his definition does not include Job Finding Club (105), Résumé Preparation Assistance  (115), Résumé Writing Workshop (132), Workshop (134), or UI-mandated events (147,  149 or 194).",System
134,Workshop,"A   T JCC staff provided two or more participants instruction relative to employment.   his definition does not include Job Finding Club (105), Résumé Preparation Assistance  (115), Résumé Writing Workshop (132), Job Search Workshop (133), or UI-mandated  events (147, 149 or 194).",System
140,Referred to Other Federal/State Assistance,"A  participant was referred to other Federal/State Assistance, which may include, but is  not limited to: Supplemental Nutrition Assistance Program (SNAP) benefits, Temporary  Assistance for Needy Families (TANF), health insurance assistance, child support  assistance, tax preparation support, and/or any other Federal or State assistance  programs.",System
147,Personalized Job Search Assistance Workshop (PJSA),"A  UI claimant(s) attended a Personalized Job Search Assistance (PJSA) session. PJSA  activities include, but are not limited to, entering a résumé in CalJOBS, inquiring about  the claimant’s search for work, providing information on AJCC services, assisting with job  search via CalJOBS or other methods, providing specific labor market information, and  referring to other AJCC services as appropriate.",System
159,Referred to NFJP: WIOA 167 Grantee,"A  participant was referred to a National Farmworker Jobs Program Grantees, WIOA 167  to receive one or more of the services which is included, but not limited to receive  assistants in job training, job placement assistance, affordable housing assistance, English  Classes, energy services, criminal justice services, citizenship and immigration aid, food,  healthcare, childcare assistance, disability and rehabilitation services.",System
160,Referred to JVSG Services: SBE,A JCC staff referred a participant to Jobs for Veterans’ State Grants (JVSG) services due to  identification that the participant has significant barriers to employment.,System
161,Referred to JVSG Services: TSM,A JCC staff referred a participant to JVSG services due to identification that the participant  being identified as a Transitioning Service Member (TSM) is in need of individualized  career services.,System
162,Referred to JVSG Services: Medical or Caregiver,"A JCC staff referred a participant JVSG services due to identification that the participant is  wounded, ill, or injured located in a military treatment facility. This activity code can also  be used for the caregiver of a veteran that is wounded, ill or injured.",System
164,Referred to VA Services: 9/11 GI Bill,A JCC staff referred a participant to Veterans Affairs (VA) services for Post-9/11 GI Bill  benefits.,System
165,Referred to VA Services: Montgomery Bill,A JCC staff referred a participant to VA services for Montgomery GI Bill benefits.,System
166,Referred to VA Services: GI Bill and Montgomery Bill,"A JCC staff referred a participant to VA services for both the Post-9/11 GI Bill, and to the  Montgomery GI Bill benefits.",System
167,Referred to VA Services: Other,"A JCC staff referred a participant to VA services for services other than Post-9/11 GI Bill or  Montgomery GI Bill benefits. Services may include referrals for PTSD, TBI treatment, and  substance abuse assistance.",System
179,Job Referral: Outside Web-Link,A  participant obtained a job referral for employment through a CalJOBS’ auto-spidering  link.,System
180,Supportive Service: Child/Dependent Care,S   A  participant received assistance with child care or dependent care that enabled him/ her  to participate in career services or training activities.  upportive services may be made available to any adult or dislocated worker  participating in Title I career services (not including follow-up services) or training  activities.   This service must be provided in conjunction with a career service or training service.  Service dates for the supportive service must be within the dates of the career service or  training activity.,System
181,Supportive Service: Transportation Assistance,S   A  participant received assistance with transportation that enabled him/her to participate  in career services or training activities.  upportive services may be made available to any adult or dislocated worker  participating in Title I career services (not including follow-up services) or training  activities.  This service must be provided in conjunction with a career service or training service.  Service dates for the supportive service must be within the dates of the career service or  training activity.,System
182,Supportive Service: Medical,A   S  participant received assistance with medical services that enabled him/her to  participate in career services or training activities.  upportive services may be made available to any adult or dislocated worker  participating in Title I career services (not including follow-up services) or training  activities.  This service must be provided in conjunction with a career service or training service.  Service dates for the supportive service must be within the dates of the career service or  training activity.,System
183,Supportive Service: Incentives/Bonuses,A   S   T  participant received an incentive or bonus that enabled him/her to participate in career  services or training activities.  upportive services may be made available to any adult or dislocated worker  participating in Title I career services (not including follow-up services) or training  activities.  his definition does not include Needs-Related Payments (326). Service must be provided  according to the approved Local Area policy for Incentives and Bonuses.   This service must be provided in conjunction with a career service or training service.  Service dates for the supportive service must be within the dates of the career service or  training activity.,System
184,Supportive Service: Temporary Shelter,S   A  participant received assistance with temporary shelter that enabled him/her to  participate in career services or training activities.  upportive services may be made available to any adult or dislocated worker  participating in Title I career services (not including follow-up services) or training  activities.  This service must be provided in conjunction with a career service or training service.  Service dates for the supportive service must be within the dates of the career service or  training activity.,System
185,Supportive Service: Other,T   AS  participant received assistance that was necessary to enable the individual to  participate in career services or training activities. This activity code should only be used  if no other Supportive Service codes apply.  his activity code requires staff to document the type of service provided in a case note.  upportive services may be made available to any adult or dislocated worker  participating in Title I career services (not including follow-up services) or training  activities.  This service must be provided in conjunction with a career service or training service.  Service dates for the supportive service must be within the dates of the career service or  training activity.,System
186,Supportive Service: Seminar/Workshop Allowance,A   S  participant received an allowance to attend an employment-related seminar or  workshop.  upportive services may be made available to any adult or dislocated worker  participating in Title I career services (not including follow-up services) or training  activities.  This service must be provided in conjunction with a career service or training service.  Service dates for the supportive service must be within the dates of the career service or  training activity.,System
187,Supportive Service: Job Search Allowance,A   S  participant received an allowance to purchase items necessary for conducting a  successful job search.   upportive services may be made available to any adult or dislocated worker  participating in Title I career services (not including follow-up services) or training  activities.  This service must be provided in conjunction with a career service or training service.  Service dates for the supportive service must be within the dates of the career service or  training activity.,System
188,Supportive Service: Tools/Clothing,S   A  participant received assistance with employment-related attire or tools for the purpose  of obtaining employment.  upportive services may be made available to any adult or dislocated worker  participating in Title I career services (not including follow-up services) or training  activities.  This service must be provided in conjunction with a career service or training service.  Service dates for the supportive service must be within the dates of the career service or  training activity.,System
189,Supportive Service: Housing Assistance,S   A JCC staff provided and/or arranged for a participant to receive housing that enabled  him/her to participate in career services or training activities.  upportive services may be made available to any adult or dislocated worker  participating in Title I career services (not including follow-up services) or training  activities.  This service must be provided in conjunction with a career service or training service.  Service dates for the supportive service must be within the dates of the career service or  training activity.,System
190,Supportive Service: Utilities,S   A JCC staff provided and/or arranged for a participant to receive assistance with his/her  utilities that enabled him/her to participate in career services or training activities.  upportive services may be made available to any adult or dislocated worker  participating in Title I career services (not including follow-up services) or training  activities.  This service must be provided in conjunction with a career service or training service.  Service dates for the supportive service must be within the dates of the career service or  training activity.,System
191,Supportive Service: Educational Testing,"A   S  participant received financial assistance to take a high school equivalency test, or an  exam for an occupation certification or credential for the purpose of obtaining  employment.  upportive services may be made available to any adult or dislocated worker  participating in Title I career services (not including follow-up services) or training  activities.  This service must be provided in conjunction with a career service or training service.  Service dates for the supportive service must be within the dates of the career service or  training activity.",System
192,Supportive Service: Post-Secondary Academic Materials,"A   S  participant received assistance with books, fees, school supplies, and other necessary  supplies for students enrolled in post-secondary education classes.  upportive services may be made available to any adult or dislocated worker  participating in Title I career services (not including follow-up services) or training  activities.  This service must be provided in conjunction with a career service or training service.  Service dates for the supportive service must be within the dates of the career service or  training activity.",System
194,Reemployment Services and Eligibility Assessment (RESEA),"A  UI claimant attended a Reemployment Services and Eligibility Assessment (RESEA)  workshop, and received services which may include, but are not limited to: UI eligibility  assessment, orientation of AJCC services, provision of labor market information,  registration in CalJOBS, development of a reemployment plan, and referral to other AJCC  services.",System
195,RESEA Subsequent Service,"A   T JCC staff provided an Unemployment Insurance claimant with a mandatory  Reemployment Services and Eligibility Assessment (RESEA) Subsequent Service. The  participant must have already completed the initial RESEA.   his activity code must be used in conjunction with an approved RESEA subsequent  service code, as listed in the most recent RESEA Internal Administrative Notice (IAN).",System
200,Individual Counseling,"A JCC staff, in a one-on-one setting, provided a participant counseling and vocational  guidance to assist the participant in achieving employment goals, and to make decisions  regarding employment and/or training opportunities.",System
201,Group Counseling,"A JCC staff, in a group setting, provided a participant counseling and vocational guidance  to assist the participant in achieving employment goals, and to make decisions regarding  employment and/or training opportunities.",System
202,Career Guidance/Planning,"A JCC staff provided a participant information, materials, suggestions, and/or advice to  help a participant make occupational or career decisions.",System
203,Objective Assessment,"A JCC staff conducted a comprehensive, specialized assessment of skill levels and service  needs of a participant. The assessment may include diagnostic testing or other  assessment tools, and in-depth interviewing and evaluation to identify employment  barriers and appropriate employment goals.",System
204,Interest and Aptitude Testing,"A JCC staff tested a participant's aptitude to determine whether the participant has the  necessary skills and qualifications to achieve his/her employment goals, or successfully  participate in a selected program of training services.",System
205,Development of IEP/ISS/EDP,"A JCC staff and a participant jointly developed an ongoing strategy to identify the  participant's employment goals, appropriate achievement objectives, and appropriate  combination of services for the participant to be able to achieve his/her employment  goals, including providing information on eligible providers of training services and career  pathways to attain career objectives.",System
206,Referred to Registered Apprenticeship Program,"A JCC staff referred a participant to an apprenticeship program approved and recorded by  the U.S. Department of Labor's Employment and Training Administration, Bureau of  Apprenticeship Training, or a California state-recognized apprenticeship agency or  council, such as the California Department of Industrial Relations, Division of  Apprenticeship Standards.",System
207,Referred to Job Corps,A JCC staff referred a participant to the WIOA Title IC Job Corps program.,System
208,Referred to Other Federal Training (non-WIOA Title IB),"S   T taff referred a participant to a training program supported by the federal government,  such as TAA, Adult Education or Vocational Rehabilitation.   his definition does not include referrals to Job Corps (207), or WIOA Title IB funded  training (211).",System
209,Referred to State and Local Training (non-WIOA),S   T taff referred a participant to a training program funded with monies from state and/or  local agencies.   his definition does not include referrals to WIOA Title IB funded training (211).,System
210,Referred to Educational Services (non-Federal/State/Local),"A JCC staff referred a participant to a service provider funded with monies other than  federal, state or local agencies monies, to receive educational services leading to the  completion of the participant's educational goals. These services include, but are not  limited to, tutoring, study skills training, and instruction.",System
211,Referred to WIOA Title IB Training,T   A JCC staff referred a participant to a training program funded under WIOA Title IB.  his definition does not include Referred to Registered Apprenticeship Program (206).,System
213,Mentorship,"A JCC staff referred a participant to a mentoring program. The participant was paired with  a mentor experienced in one or more areas that would benefit the participant. The  mentor shared their knowledge, wisdom, and experience with the participant, and  facilitated learning through instructing, coaching, sharing experiences, modeling and  advising. The mentorship could include a contract for learning and should last for a  specified period of time.",System
214,"Adult Literacy, Basic Skills or GED Preparation","A JCC staff referred a participant to a course of basic academic instruction and/or basic  education services below the post-secondary level to increase the participant's ability to  read, write and speak in English, and to perform mathematics, or other necessary  activities, to obtain a secondary school diploma or its recognized equivalent; and, to  transition to post-secondary education and training.",System
215,Short-Term Prevocational Services,"A  participant is receiving short-term, prevocational services, including the development  of learning, communication, interviewing skills, punctuality, personal maintenance skills,  and professional conduct to prepare the participant for unsubsidized employment or  training.",System
216,Out-of-Area Job Search Assistance,"A JCC staff assisted a participant with an out-of-area job search. The assistance was  deemed appropriate based upon the participant's assessment, and/or the participant's  individual employment plan.",System
217,Relocation Assistance,"A JCC staff provided financial assistance to relocate in order to accept employment, as  provided by local policy.",System
218,Referred to Internship,"A JCC staff referred a participant to an internship opportunity. The internship was  deemed appropriate based upon the participant's assessment, and/or the participant's  individual employment plan.",System
219,Work Experience,"T   A  participant took part in a planned, structured learning experience that took place in a  private, for-profit, nonprofit, or public sector workplace for a limited time period. Work  experience may be paid or unpaid, as appropriate. A WIOA-funded paid internship may  also be included in this activity, as appropriate.   his activity does not include Referred to Internship (218), Pre-Apprenticeship Training  (224), or Transitional Job (320).",System
221,Financial Literacy Education,"A  participant received financial literacy services that support the ability to do one or  more of the following:  Create household budgets, initiate savings plans, and make informed financial  1.  decisions about education, retirements, home ownership, wealth building, or  other savings goals.  2.  Manage spending, credit, and debt, including credit card debt, effectively.  Increasing awareness of the availability and significance of credit reports and  3.  credit scores in obtaining credit, including determining their accuracy (and how  to correct inaccuracies in the reports and scores), and their effect on credit  terms.  The ability to understand, evaluate, and compare financial products, services,  4.  and opportunities.  Address the particular financial literacy needs of non-English speakers, including  5.  providing the support through the development and distribution of multilingual  financial literacy and education materials.",System
222,English Language Learner (ELL),A  participant received English as a second language service or training. ELL services are  provided to a participant whose primary language is not English. Services are designed to  increase the English language proficiency of the participant so they can attain training  and/or employment success.,System
224,Pre-Apprenticeship Training,"T   T he participant enrolled in a Pre-Apprenticeship (PA) program that has a documented  partnership with at least one Registered Apprenticeship program. The PA's training and  curriculum must be based on industry standards, approved by the documented  Registered Apprenticeship partner(s), and prepare the individual with the skills and  competencies needed to enter one or more Registered Apprenticeship program(s).   his activity code requires staff to provide justification in CalJOBS under case notes.",System
226,Reading and/or Math Testing,A JCC staff tested a participant's reading and math skill levels and competencies.,System
227,Disaster Relief Employment/Temporary Job (NDWG only),S taff enrolled an eligible participant in disaster relief employment. The temporary job will  provide immediate employment and wages. Clean-up and repair work will be performed  on public and/or private non-profit lands.   This service is only available to eligible National Dislocated Worker Grant participants.,System
230,Case Management (TAA),"EDD staff provided services by (a) preparing and coordinating a comprehensive  employment plan, such as service strategy to ensure a participant's access to necessary  Trade Assistance Act (TAA) activities and supportive services, using computer-based  technologies whenever feasible; and (b) providing job and career planning during  program participation and after job placement.  This activity code is only available to the TAA program.",System
231,Waiver: Recall,"T     he TAA requires participants to be enrolled in, or have completed an approved training  course in order to receive Trade Readjustment Assistance (TRA) allowances (i.e.,  additional UI benefits under TAA). This requirement may be waived if the participant has  been notified that he/she will be recalled by the employer from which the separation  occurred.  *This activity is only available to the TAA program.",System
232,Waiver: Marketable Skills,"T he TAA requires participants to be enrolled in, or have completed an approved training  course in order to receive TRA allowances (i.e., additional UI benefits under TAA). This  requirement may be waived if the participant has marketable skills for suitable  employment, and there is a reasonable expectation of employment of equivalent wages  in the foreseeable future.  This activity code is only available to the TAA program.",System
233,Waiver: Retirement,"T he TAA requires a participant to be enrolled in, or have completed an approved training  course in order to receive TRA allowances (i.e., additional UI benefits under TAA). This  requirement may be waived if a participant has met all requirements for entitlement to  either (a) old-age insurance benefits under Title II of the Social Security Act within two  years; (b) was certified prior to January 1, 2011; and (c) does not want to be re-trained.  This activity code is only available to the TAA program.",System
234,Waiver: Poor Health,"T he TAA requires participants to be enrolled in, or have completed an approved training  course in order to receive TRA allowances (i.e., additional UI benefits under TAA). This  requirement may be waived if the participant is unable to participate in training due the  participant's health.  This activity code is only available to the TAA program.",System
235,Waiver: Delay for Training,"T he TAA requires participants to be enrolled in, or have completed an approved training  course in order to receive TRA allowances (i.e., additional UI benefits under TAA). This  requirement may be waived if the first available enrollment date for approved training is  within 60 days after the date of the waiver's determination, or, if later, there are  extenuating circumstances for the delay in enrollment.  This activity code is only available to the TAA program.",System
236,Waiver: Training Not Available,"The TAA requires participants to be enrolled in, or have completed an approved training  course in order to receive TRA allowances (i.e., additional UI benefits under TAA). This  requirement may be waived if training is not reasonably available to the worker from  either governmental agencies or private sources, and no training that is suitable for the  participant is available at a reasonable cost, or not enough training funds are available.  This activity code is only available to the TAA program.",System
237,Approved Out-of-Area Job Search Allowance (TAA),An adversely affected dislocated worker has received a Job Search Allowance in obtaining  employment in areas outside his/her normal labor market.  This activity code is only available to the TAA program.,System
280,Wage Subsidy (TAA),"E stablished as an alternative assistance program for older workers certified eligible to  apply to under the TAA.  Workers in an eligible group who are at least 50 years of age,  and who obtain different, full-time employment within 26 weeks of separation from  adversely affected employment, at wages less than those earned in adversely-affected  employment, may receive up to half the difference between the old wage and the new  wage. The new wage subsidy may be paid up to a maximum of $10,000 during a two-year  eligibility period. To be eligible for the TAA program, workers may not earn less than  $50,000 per year in the new employment.  This activity code is only available to the TAA program.",System
300,Occupational Skills Training (Approved ETPL Provider),A   T he participant enrolled in a California (CA) Eligible Training Provider List (ETPL) training  program designed to provide the technical skills necessary to perform a specific job or  group of jobs.  ll Occupational Skills Training services must have an Occupational Code (ONET Code)  that indicates the type of training being provided. The Industry Code (NAICS Code) is not  required.,System
301,On-the-Job Training,"A  participant took part in paid training while engaged in productive work in a job. The  training (a) provided knowledge or skills essential to the full and adequate performance  of the job; and (b) provided reimbursement to the employer for up to  50% of the  participant's wage rate for extraordinary costs of providing the training and additional  supervision related to the training; and (c) was limited in duration appropriate to the  occupation for which the participant was being trained, taking into account the training's  content, the participant's prior work experience, and service strategy, as appropriate.",System
302,Entrepreneurial Training,"A  participant attended entrepreneurial skills training that included, but was not limited  to, the elements of starting and operating a small business, business plan development,  securing financing, general business law concepts, employee management, and the  understanding of marketing concepts.",System
303,Distance Learning (TAA),"T he participant is enrolled in TAA Technology-Based Learning (TBL) (i.e., an e-learning  program or course of study where instruction is delivered via electronic technology,  including the internet, intranet sites, satellite broadcasts, audio and video conferencing,  internet bulletin boards, chat rooms, webcasts, and sometimes in concert with face-to- face instruction, aka, ""blended learning”).  This activity code is only available to the TAA program.",System
304,Customized Training,"A   C  participant enrolled in an employer's customized training program. The training was  designed to meet the specific requirements of an employer (or a group of employers);  was conducted with a commitment by the employer to employ the participant upon  successful completion of the training; and for which the employer paid a significant  portion of the cost of training, as determined by the Local Board in accordance with  WIOA.   ustomized training may be provided when the following criteria are met:   The participant is not earning a self-sufficient wage as determined by Local Board  1.  policy.   The above paragraph's requirements are met.  2.  The customized training relates to on-the-job training contracts for employed  3.  workers, or other appropriate purposes identified by the Local Board.",System
